Category: All categories

Week,Cleveland Cavaliers: (Worldwide)
2011-10-16,1
2011-10-23,1
2011-10-30,1
2011-11-06,1
2011-11-13,1
2011-11-20,1
2011-11-27,1
2011-12-04,1
2011-12-11,2
2011-12-18,2
2011-12-25,3
2012-01-01,2
2012-01-08,2
2012-01-15,2
2012-01-22,2
2012-01-29,2
2012-02-05,2
2012-02-12,2
2012-02-19,2
2012-02-26,2
2012-03-04,2
2012-03-11,2
2012-03-18,2
2012-03-25,1
2012-04-01,1
2012-04-08,1
2012-04-15,1
2012-04-22,2
2012-04-29,1
2012-05-06,2
2012-05-13,1
2012-05-20,1
2012-05-27,1
2012-06-03,1
2012-06-10,1
2012-06-17,2
2012-06-24,3
2012-07-01,2
2012-07-08,2
2012-07-15,2
2012-07-22,1
2012-07-29,1
2012-08-05,1
2012-08-12,1
2012-08-19,1
2012-08-26,1
2012-09-02,1
2012-09-09,1
2012-09-16,1
2012-09-23,1
2012-09-30,1
2012-10-07,1
2012-10-14,1
2012-10-21,1
2012-10-28,2
2012-11-04,2
2012-11-11,1
2012-11-18,1
2012-11-25,2
2012-12-02,2
2012-12-09,2
2012-12-16,2
2012-12-23,1
2012-12-30,1
2013-01-06,2
2013-01-13,2
2013-01-20,2
2013-01-27,2
2013-02-03,2
2013-02-10,2
2013-02-17,2
2013-02-24,2
2013-03-03,2
2013-03-10,1
2013-03-17,3
2013-03-24,1
2013-03-31,1
2013-04-07,1
2013-04-14,1
2013-04-21,1
2013-04-28,1
2013-05-05,1
2013-05-12,1
2013-05-19,2
2013-05-26,1
2013-06-02,2
2013-06-09,1
2013-06-16,2
2013-06-23,3
2013-06-30,2
2013-07-07,3
2013-07-14,2
2013-07-21,1
2013-07-28,1
2013-08-04,1
2013-08-11,1
2013-08-18,1
2013-08-25,1
2013-09-01,1
2013-09-08,1
2013-09-15,1
2013-09-22,1
2013-09-29,1
2013-10-06,1
2013-10-13,2
2013-10-20,2
2013-10-27,3
2013-11-03,2
2013-11-10,2
2013-11-17,2
2013-11-24,2
2013-12-01,2
2013-12-08,2
2013-12-15,2
2013-12-22,2
2013-12-29,2
2014-01-05,3
2014-01-12,2
2014-01-19,2
2014-01-26,2
2014-02-02,2
2014-02-09,2
2014-02-16,3
2014-02-23,2
2014-03-02,2
2014-03-09,2
2014-03-16,2
2014-03-23,2
2014-03-30,2
2014-04-06,1
2014-04-13,1
2014-04-20,1
2014-04-27,1
2014-05-04,1
2014-05-11,1
2014-05-18,3
2014-05-25,2
2014-06-01,1
2014-06-08,2
2014-06-15,3
2014-06-22,4
2014-06-29,3
2014-07-06,26
2014-07-13,13
2014-07-20,6
2014-07-27,5
2014-08-03,7
2014-08-10,5
2014-08-17,5
2014-08-24,5
2014-08-31,3
2014-09-07,3
2014-09-14,3
2014-09-21,4
2014-09-28,5
2014-10-05,7
2014-10-12,6
2014-10-19,5
2014-10-26,18
2014-11-02,12
2014-11-09,9
2014-11-16,10
2014-11-23,8
2014-11-30,8
2014-12-07,10
2014-12-14,7
2014-12-21,11
2014-12-28,7
2015-01-04,10
2015-01-11,8
2015-01-18,8
2015-01-25,9
2015-02-01,9
2015-02-08,9
2015-02-15,6
2015-02-22,10
2015-03-01,10
2015-03-08,9
2015-03-15,8
2015-03-22,6
2015-03-29,7
2015-04-05,7
2015-04-12,7
2015-04-19,15
2015-04-26,11
2015-05-03,22
2015-05-10,34
2015-05-17,27
2015-05-24,37
2015-05-31,34
2015-06-07,81
2015-06-14,59
2015-06-21,6
2015-06-28,6
2015-07-05,6
2015-07-12,4
2015-07-19,4
2015-07-26,4
2015-08-02,3
2015-08-09,3
2015-08-16,3
2015-08-23,3
2015-08-30,3
2015-09-06,3
2015-09-13,2
2015-09-20,3
2015-09-27,3
2015-10-04,4
2015-10-11,4
2015-10-18,4
2015-10-25,12
2015-11-01,9
2015-11-08,9
2015-11-15,8
2015-11-22,8
2015-11-29,8
2015-12-06,8
2015-12-13,9
2015-12-20,17
2015-12-27,8
2016-01-03,8
2016-01-10,10
2016-01-17,17
2016-01-24,13
2016-01-31,11
2016-02-07,8
2016-02-14,8
2016-02-21,10
2016-02-28,8
2016-03-06,9
2016-03-13,8
2016-03-20,8
2016-03-27,8
2016-04-03,7
2016-04-10,8
2016-04-17,17
2016-04-24,11
2016-05-01,21
2016-05-08,13
2016-05-15,33
2016-05-22,60
2016-05-29,52
2016-06-05,99
2016-06-12,100
2016-06-19,99
2016-06-26,10
2016-07-03,16
2016-07-10,8
2016-07-17,6
2016-07-24,5
2016-07-31,4
2016-08-07,4
2016-08-14,4
2016-08-21,4
2016-08-28,4
2016-09-04,4
2016-09-11,4
2016-09-18,4
2016-09-25,4
2016-10-02,6
